epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.965,3.37485,13.3699,2.11149,0.08514,0.03571,0.00703,0.00203,2.07871,4.71863,1.49562,6e-05,6e-05,6e-05
2,15.3763,3.27713,12.0635,2.14354,0.87119,0.03571,0.03743,0.01131,2.16111,4.79456,1.54417,0.000137228,0.000137228,0.000137228
3,18.3195,3.0378,8.37268,1.97188,0.15972,0.19031,0.12392,0.05065,1.86206,7.92895,1.33697,0.000211288,0.000211288,0.000211288
4,21.4947,2.34183,4.83499,1.48343,0.06188,0.67857,0.09757,0.04447,1.76292,15.3524,1.1654,0.00028218,0.00028218,0.00028218
5,24.5688,2.01888,3.55727,1.34453,0.27645,0.35714,0.19906,0.07818,1.72548,4.09858,1.21142,0.000349904,0.000349904,0.000349904
6,27.4332,1.89517,3.01753,1.28875,0.18674,0.39286,0.16569,0.08394,1.67613,3.09453,1.15089,0.00041446,0.00041446,0.00041446
7,30.2557,1.86046,2.52228,1.26709,0.26123,0.46429,0.18682,0.09668,1.64586,3.34247,1.22492,0.000475848,0.000475848,0.000475848
8,33.1701,1.95046,2.54779,1.35124,0.28938,0.29103,0.14291,0.08049,1.74801,2.88297,1.29376,0.000534068,0.000534068,0.000534068
9,35.9056,1.78204,1.92013,1.23012,0.296,0.25,0.18629,0.1041,1.71873,2.60793,1.26826,0.00058912,0.00058912,0.00058912
10,38.8757,1.72018,1.56513,1.18942,0.2677,0.14286,0.17046,0.12348,1.73198,2.48547,1.32887,0.000641004,0.000641004,0.000641004
11,41.605,1.75179,1.74802,1.21065,0.51751,0.1159,0.18123,0.11603,1.90064,2.77915,1.42455,0.00068972,0.00068972,0.00068972
12,44.3754,1.72196,1.41145,1.22697,0.61192,0.32143,0.47191,0.19351,1.83717,2.04999,1.42062,0.000735268,0.000735268,0.000735268
13,47.3632,1.66084,1.41148,1.21932,0.76683,0.39286,0.45437,0.22133,1.69599,2.25454,1.31602,0.000777648,0.000777648,0.000777648
14,50.3924,1.49472,1.43058,1.1354,0.60862,0.25,0.37514,0.18072,1.71396,2.57769,1.3063,0.00081686,0.00081686,0.00081686
15,53.2368,1.5735,1.27412,1.17449,0.57,0.32143,0.34577,0.16299,1.85736,2.45011,1.37673,0.000852904,0.000852904,0.000852904
16,55.792,1.38111,1.10549,1.10557,0.57367,0.19312,0.24511,0.07019,2.0469,2.85141,1.47464,0.00088578,0.00088578,0.00088578
17,58.4936,1.5292,1.28878,1.14576,0.3442,0.25,0.2143,0.08025,2.03131,2.50806,1.50731,0.000915488,0.000915488,0.000915488
18,61.2746,1.53066,1.13218,1.10312,0.8605,0.28571,0.39662,0.17219,1.86034,2.15314,1.39726,0.000942028,0.000942028,0.000942028
19,64.0478,1.48603,1.18094,1.16097,0.45571,0.46429,0.43898,0.21153,1.81704,2.02426,1.36894,0.0009654,0.0009654,0.0009654
20,66.7569,1.38035,1.0712,1.08743,0.57199,0.35714,0.42019,0.21012,1.77665,2.30964,1.33851,0.000985604,0.000985604,0.000985604
21,69.4642,1.48163,0.9921,1.10881,0.65814,0.13829,0.18158,0.09881,1.97017,3.31485,1.41882,0.00100264,0.00100264,0.00100264
22,72.3598,1.37469,1.09242,1.0341,0.47147,0.10714,0.0965,0.04519,2.20925,3.70028,1.5316,0.00101651,0.00101651,0.00101651
23,75.1416,1.32365,1.02015,1.13991,0.29476,0.07143,0.095,0.04253,2.15973,3.7926,1.4957,0.00102721,0.00102721,0.00102721
24,77.7239,1.29896,0.93306,1.05143,0.93574,0.14286,0.16421,0.07008,2.0164,3.46754,1.415,0.00103474,0.00103474,0.00103474
25,80.5313,1.41559,1.10713,1.12571,0.50197,0.14286,0.2514,0.10839,1.93562,3.03177,1.40835,0.0010391,0.0010391,0.0010391
26,83.3484,1.40233,0.9486,1.11117,0.77154,0.39286,0.41023,0.19522,1.8795,2.54887,1.37634,0.00101,0.00101,0.00101
27,86.1405,1.38701,1.06578,1.0774,0.80031,0.5,0.53903,0.27912,1.81096,2.23204,1.35975,0.0009704,0.0009704,0.0009704
28,89.3749,1.37544,1.09446,1.083,0.83184,0.53029,0.56583,0.28399,1.77197,2.33379,1.31438,0.0009308,0.0009308,0.0009308
29,92.3638,1.4532,1.06061,1.07629,0.72284,0.46579,0.49488,0.26075,1.86123,2.50317,1.35963,0.0008912,0.0008912,0.0008912
30,95.5306,1.32408,0.92684,1.04576,0.71669,0.42857,0.50481,0.24625,1.86333,2.65641,1.38103,0.0008516,0.0008516,0.0008516
31,98.7357,1.30029,0.9094,1.00923,0.6263,0.46429,0.57439,0.27888,1.80468,1.86232,1.37414,0.000812,0.000812,0.000812
32,101.953,1.26815,0.9796,1.00961,0.56094,0.57143,0.57853,0.30225,1.75943,1.6877,1.35084,0.0007724,0.0007724,0.0007724
33,105.039,1.32072,0.9466,1.06585,0.48251,0.64286,0.56266,0.31157,1.71439,1.68102,1.29344,0.0007328,0.0007328,0.0007328
34,108.198,1.28433,0.97323,1.02526,0.57228,0.66921,0.60451,0.31951,1.69309,1.62639,1.27528,0.0006932,0.0006932,0.0006932
35,111.159,1.21863,0.90332,1.01674,0.59456,0.68091,0.63087,0.34169,1.64666,1.56797,1.25716,0.0006536,0.0006536,0.0006536
