epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9752,3.42655,5.95098,2.14618,0,0,0,0,2.27526,4.19953,1.58252,6e-05,6e-05,6e-05
2,14.8836,2.91911,3.90479e+17,1.96668,0.00167,0.25,0.00111,0.00032,2.04489,4.07164,1.41274,0.00013769,0.00013769,0.00013769
3,16.7799,2.55519,4.82597,1.59943,0.00357,0.53571,0.00362,0.00097,2.44646,3.9129,1.38118,0.00021274,0.00021274,0.00021274
4,18.7799,2.21329,4.05991,1.44348,0.00476,0.71429,0.00686,0.00213,2.23775,3.71071,1.46718,0.00028515,0.00028515,0.00028515
5,20.6551,2.31339,3.57724,1.50878,0.00595,0.89286,0.00801,0.0031,1.89254,3.55909,1.28997,0.00035492,0.00035492,0.00035492
6,22.4988,2.11692,3.33375,1.42384,0.00571,0.85714,0.00809,0.00353,1.72841,3.47152,1.2121,0.00042205,0.00042205,0.00042205
7,24.3513,1.88835,2.94018,1.314,0.00619,0.92857,0.01282,0.00607,1.73434,3.48465,1.17728,0.00048654,0.00048654,0.00048654
8,26.2322,1.894,3.09321,1.2744,0.00571,0.85714,0.01171,0.00545,1.57342,3.60049,1.15155,0.00054839,0.00054839,0.00054839
9,28.0969,1.71983,2.62251,1.17919,0.00238,0.35714,0.00306,0.00145,1.46862,3.88262,1.20055,0.0006076,0.0006076,0.0006076
10,29.9422,1.79675,2.56031,1.23166,0.00214,0.32143,0.00275,0.00126,1.62989,3.84289,1.24419,0.00066417,0.00066417,0.00066417
11,31.8027,1.73455,2.39814,1.27206,0.0019,0.28571,0.00166,0.00064,1.66262,3.85944,1.28992,0.0007181,0.0007181,0.0007181
12,33.6585,1.77068,2.45773,1.1586,0.00286,0.42857,0.00285,0.00121,1.56208,3.78395,1.24532,0.00076939,0.00076939,0.00076939
13,35.466,1.72231,2.1963,1.21415,0.00405,0.60714,0.08062,0.05417,1.59387,3.67758,1.23002,0.00081804,0.00081804,0.00081804
14,37.1719,1.81776,2.23442,1.24055,0.00405,0.60714,0.04309,0.0359,1.55193,3.58361,1.1975,0.00086405,0.00086405,0.00086405
15,38.9719,1.77301,2.2552,1.24258,0.00357,0.53571,0.00355,0.00127,1.65935,3.78993,1.23546,0.00090742,0.00090742,0.00090742
16,40.7573,1.90231,2.22774,1.31202,0.00333,0.5,0.00335,0.0013,1.71238,3.70936,1.26364,0.00094815,0.00094815,0.00094815
17,42.5626,1.73093,1.94701,1.21227,0.00381,0.57143,0.03952,0.02962,1.66547,3.64052,1.23584,0.00098624,0.00098624,0.00098624
18,44.3774,1.67297,1.87394,1.21211,0.00223,0.10714,0.06718,0.04387,1.63335,3.42823,1.20948,0.00102169,0.00102169,0.00102169
19,46.1459,1.67864,1.66497,1.17364,0.5198,0.03571,0.08164,0.05603,1.57448,3.31728,1.19441,0.0010545,0.0010545,0.0010545
20,47.9234,1.60926,1.87779,1.17819,0.29993,0.17857,0.14222,0.07188,1.56596,3.17374,1.19725,0.00108467,0.00108467,0.00108467
21,49.7557,1.61089,1.78184,1.15367,0.00524,0.78571,0.0624,0.0273,1.61226,3.21699,1.17233,0.0011122,0.0011122,0.0011122
22,51.5238,1.61977,1.84712,1.14533,0.01088,0.5,0.32432,0.15406,1.60181,3.03006,1.17831,0.00113709,0.00113709,0.00113709
23,53.2837,1.63505,1.59209,1.15333,0.98337,0.28571,0.40918,0.16766,1.74043,2.76283,1.22902,0.00115934,0.00115934,0.00115934
24,55.0798,1.68533,1.82478,1.12913,0.85684,0.25,0.39883,0.1446,1.86126,2.71929,1.29191,0.00117895,0.00117895,0.00117895
25,56.8584,1.57224,1.64534,1.16264,0.77282,0.24363,0.45234,0.22224,1.81771,2.5417,1.2742,0.00119592,0.00119592,0.00119592
26,58.6373,1.59606,1.64845,1.15299,0.66498,0.42857,0.50071,0.25262,1.70614,2.21503,1.25531,0.001175,0.001175,0.001175
27,60.4122,1.69198,1.71242,1.18568,0.62366,0.53277,0.57331,0.27159,1.70847,1.95714,1.29248,0.001142,0.001142,0.001142
28,62.1922,1.45694,1.93191,1.13914,0.62915,0.5,0.58468,0.29261,1.7897,1.9997,1.32044,0.001109,0.001109,0.001109
29,63.9082,1.51301,1.63377,1.15594,0.56889,0.5,0.57981,0.28542,1.77122,2.03513,1.29101,0.001076,0.001076,0.001076
30,65.6634,1.53106,1.625,1.12245,0.63829,0.5,0.54948,0.28001,1.70413,2.12781,1.23042,0.001043,0.001043,0.001043
31,67.4102,1.42176,1.39722,1.11803,0.72249,0.27945,0.50172,0.24761,1.76463,2.38961,1.23032,0.00101,0.00101,0.00101
32,69.1791,1.42956,1.39227,1.10192,0.64103,0.2555,0.46024,0.18474,1.90689,2.40458,1.30615,0.000977,0.000977,0.000977
